,league_id,season,stage,date,match_id,home_team_id,away_team_id,home_team_goal,away_team_goal,scored_by,assisted_by,cards_home_team,cards_away_team,corners_home_team,corners_away_team,shoton_home_team,shoton_away_team,shotoff_home_team,shotoff_away_team,cross_home_team,cross_away_team,possession_home_team,possession_away_team
150,1729,2011/2012,8,2011-10-15 00:00:00,1024573,8650,10260,1,1,30618;70409,113836,1,3,8,3,8,2,7,8,28,13,50,50
151,1729,2011/2012,9,2011-10-23 00:00:00,1024649,10260,8456,1,6,108808;108808;37412;24148;15403;37459;15403,38807;38807;24208;70409;33086;15403;37459,5,4,7,4,7,6,5,9,22,10,50,50
152,1729,2012/2013,1,2012-08-20 00:00:00,1228230,8668,10260,1,0,39618,24156,1,2,6,8,7,9,11,4,23,31,44,56
153,1729,2012/2013,10,2012-11-03 00:00:00,1229198,10260,9825,2,1,30843;32569;37436,30829,5,4,6,1,6,1,4,4,28,16,48,52
154,1729,2012/2013,11,2012-11-10 00:00:00,1229209,10252,10260,2,3,184360;184360;70409;70409,148315;23264;30373;30843,1,1,5,6,3,8,4,10,22,39,34,66
155,1729,2012/2013,12,2012-11-17 00:00:00,1229223,9850,10260,1,0,47194,33963,0,1,0,12,3,6,4,4,6,27,50,50
156,1729,2012/2013,13,2012-11-24 00:00:00,1229232,10260,10172,3,1,32084;43248;24148;70409,113836;30829;40961,1,1,9,7,7,7,6,5,27,13,60,40
157,1729,2012/2013,14,2012-11-28 00:00:00,1229240,10260,8654,1,0,30843,34944,1,1,5,5,11,3,11,7,27,32,52,48
158,1729,2012/2013,15,2012-12-01 00:00:00,1229258,9798,10260,3,4,113005;40961;30829;24952;117545;30829;30843,23354;23282;23282;32569;30829,1,1,6,1,6,3,4,5,28,13,50,50
159,1729,2012/2013,16,2012-12-09 00:00:00,1229267,8456,10260,2,3,30829;30829;36615;30509;30843,23354;38994;38817,4,3,8,2,8,1,5,5,21,14,53,47
160,1729,2012/2013,17,2012-12-15 00:00:00,1229275,10260,8472,3,1,30843;160713;30829;24157,34944;30843;33468,0,0,9,9,2,9,12,4,23,30,50,50
161,1729,2012/2013,18,2012-12-23 00:00:00,1229289,10003,10260,1,1,32569;118528,30843,2,4,3,6,8,12,4,8,16,25,50,50
162,1729,2012/2013,19,2012-12-26 00:00:00,1229300,10260,10261,4,3,23579;43248;32569;46700;30843;70409,39968;34944;34944,3,3,2,2,4,9,7,6,26,23,50,50
163,1729,2012/2013,2,2012-08-25 00:00:00,1228293,10260,9879,3,2,34574;30843;144993;38994,38229;32569;160713;23354,0,1,8,8,7,7,9,3,40,16,50,50
164,1729,2012/2013,20,2012-12-29 00:00:00,1229310,10260,8659,2,0,30843,35327,1,0,9,6,12,11,8,5,22,27,50,50
165,1729,2012/2013,21,2013-01-01 00:00:00,1229328,8528,10260,0,4,70409;30843;70409;30843,70409;113836,1,1,1,6,3,7,4,4,14,25,50,50
166,1729,2012/2013,22,2013-01-13 00:00:00,1229333,10260,8650,2,1,30843;30865;51553,32569;32569,1,4,3,1,6,5,6,7,15,14,58,42
167,1729,2012/2013,23,2013-01-20 00:00:00,1229346,8586,10260,1,1,30843;30956,160713;30895,1,4,9,4,16,3,8,2,37,18,52,48
